KRONK          GA4623444520190123B22305362
WANDER         GA0345679220181125B39532146
SETT           HI6945672320191016B12458697
JONES          HI3456891220190523B24681012
REED           IL5544442320190314B30256104
LEE            IL0000000020190625B20000000
AVAROSA        IN9999999920190821B10000000
FRITZ          IN0000000020190517B19999999
BOB - DYLAN    CO9000001220191211P15200013
KING           CT9999999920181110P29999999
FREEZE         DE0000000020171009P30000000
MUSK           DE0000000020180608P19999999
CRUISE         DE9999999920190805P10000000
STARK          FL0203201220190704P20234895
THORS          FL0057902620180408P30048731
HOLMES         FL0006215720190619P30009124
KRONK          GA4623444520190123S22305362
WANDER         GA0345679220181125S09532146
SETT           HI6945672320191016S42458697
JONES          HI3456891220190523S24681012
REED           IL5544442320190314S30256104
LEE            IL0000000020190625S00000000
AVAROSA        IN9999999920190821S00000000
TAMARA         IN0000000020190517S99999999
BOB - DYLAN    CO9000001220191211J15200013
KING           CT9999999920181110J29999999
FREEZE         DE0000000020171009J30000000
MUSK           DE0000000020180608J19999999
CRUISE         DE9999999920190805J10000000
STARK          FL0203201220190704J20234895
THORS          FL0057902620180408J30048731
HOLMES         FL0006215720190619J30009124
KRONK          GA4623444520190123C22305362
WANDER         GA0345679220181125C09532146
SETT           HI6945672320191016C42458697
JONES          HI3456891220190523C24681012
REED           IL5544442320190314C30256104
LEE            IL0000000020190625C00000000
AVAROSA        IN9999999920190821C00000000
TAMARA         IN0000000020190517C99999999
BOB - DYLAN    CO9000001220191211R15200013
KING           CT9999999920181110R29999999
FREEZE         DE0000000020171009R30000000
MUSK           DE0000000020180608R19999999
CRUISE         DE9999999920190805R10000000
STARK          FL0203201220190704R20234895
THORS          FL0057902620180408R30048731
HOLMES         FL0006215720190619R30009124
